cell_type,n,mean_rt,median_rt,std_rt,iqr_rt
U2OS,195,0.001448987408039069,-0.0174376471174086,0.3497498599305904,0.6396921299507591
RPE1,284,0.00677424910119202,0.06926499919300505,0.40410245963839053,0.7165257430507648
BJ,165,-0.06730434208063277,-0.0256073232195635,0.38286384296847903,0.5348903743102018
