feature,label,family,effect,ci_low,ci_high,raw_p,holm_p,significant_holm_0.05
midas,MiDAS-seq,Primary,0.42323901264298613,0.2260460565924143,0.6104831426851294,1.9850341450761445e-05,0.0001389523901553301,True
fancd2,FANCD2-seq,Primary,0.3991571342564719,0.21341812161348583,0.5728476821192052,5.7286570944040845e-05,0.0003437194256642451,True
lateS_G2M,lateS/G2/M-seq,Primary,0.3109572546658639,0.14117248645394342,0.48916315472606864,0.001722761942101391,0.008613809710506955,True
g_quadruplex,G-quadruplex,Primary,-0.1553281155930163,-0.3374849488260084,0.028311258278145637,0.1176149319933968,0.4704597279735872,False
ns_seq,NS-seq,Primary,-0.13214930764599642,-0.32721252257676103,0.056592414208308295,0.1831493633250847,0.5494480899752541,False
gro_seq,GRO-seq,Primary,0.07121212121212128,-0.10333333333333339,0.2533484848484848,0.47395961296803224,0.9479192259360645,False
drip_seq,DRIP-seq,Primary,0.0024081878386514877,-0.1857841661649609,0.18484346779048766,0.9818359962604977,0.9818359962604977,False
ab_compartment,A/B compartment,Supporting,-0.16496124031007753,-0.3420232558139535,0.0226589147286821,0.0997767603387026,0.1995535206774052,False
rt_slope_untreated,RT slope,Supporting,-0.08037326911499099,-0.2606863335340156,0.10535821794099931,0.4185189315982957,0.4185189315982957,False
